# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Dec 01 10:35:11 CET 2022 [seed=1669887305152]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.AB.country.cont0.dump.txt RSV.AB.country.xml
state	joint	prior	likelihood	country.clock.rate.A	country.clock.rate.B	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefficients6	country.coefficients7	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.coefIndicators6	country.coefIndicators7	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.coefficientsTimesIndicators6	country.coefficientsTimesIndicators7	country.branchRates.A	country.branchRates.B	country.treeLikelihood.A	country.treeLikelihood.B
390000	-3337.855036258311	-238.69339256880338	-3099.1616436895074	0.06407008503082881	0.11627351777287084	1.031664680951629	2.909218415820745	-0.2769018345150329	-3.524121235666925	-4.365614770975778	1.2757469340510705	0.9158929941692	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.031664680951629	0.0	-0.2769018345150329	-0.0	-0.0	1.2757469340510705	0.9158929941692	0.0	0.0	-1451.707384392136	-1647.4542592973717
400000	-3327.1485826922817	-229.21417409462327	-3097.9344085976586	0.06364240961234635	0.1069228568987058	0.9863103948641597	-0.22556152086452977	-0.3742284873637242	-0.382717801373039	-3.7698624210498055	1.4136583608277349	0.7785353545372312	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9863103948641597	-0.0	-0.3742284873637242	-0.0	-0.0	1.4136583608277349	0.7785353545372312	0.0	0.0	-1453.4421084620094	-1644.4923001356492
410000	-3320.6950189274503	-244.4203802146594	-3076.274638712791	0.0653469748543788	0.11999444844039178	1.046728639182031	-1.0589082358069977	-0.39070329673333193	0.22266806546768905	0.06174890869026978	1.265647640857991	0.7834167722988068	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.046728639182031	-0.0	-0.39070329673333193	0.22266806546768905	0.0	1.265647640857991	0.7834167722988068	0.0	0.0	-1442.0089396740352	-1634.2656990387559
420000	-3324.6238369845614	-249.56260859304982	-3075.0612283915116	0.06534651778221354	0.12606559014311172	1.0816956321950713	-2.1122212033829126	-0.3818939082957455	0.18761066313215352	0.4409799900573293	1.1617197825190568	0.8025816610044775	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.0816956321950713	-0.0	-0.3818939082957455	0.18761066313215352	0.0	1.1617197825190568	0.8025816610044775	0.0	0.0	-1446.0013650765122	-1629.0598633149996
430000	-3318.1758759913046	-255.9715377407752	-3062.2043382505294	0.0769827303282928	0.1118718648551717	0.9047303867439785	0.18441309305191522	-0.3202752187549062	2.291391545603227	-1.7956662580294414	1.255629784951643	0.7954306502388325	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	0.9047303867439785	0.0	-0.3202752187549062	0.0	-0.0	1.255629784951643	0.7954306502388325	0.0	0.0	-1425.4377033642604	-1636.766634886269
440000	-3327.123742738829	-273.1774969922302	-3053.946245746599	0.07467862215846982	0.13835448958182148	1.024383685549673	3.3179047316318084	-0.23467830005516635	2.4374895356165185	2.055531452105223	1.0583750434412342	0.8252797038271026	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.024383685549673	0.0	-0.23467830005516635	0.0	0.0	1.0583750434412342	0.8252797038271026	0.0	0.0	-1441.3392856455273	-1612.6069601010715
450000	-3323.4352288262608	-243.457743693535	-3079.9774851327256	0.06901148383436231	0.11036746270994997	0.9415897666548856	1.6715266229472445	-0.227311445644858	0.138903632989847	-0.12148071919809132	1.1814494501972619	0.7212487505798355	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	0.9415897666548856	0.0	-0.227311445644858	0.138903632989847	-0.0	1.1814494501972619	0.7212487505798355	0.0	0.0	-1441.5657840043161	-1638.4117011284093
460000	-3317.3840133837875	-273.24315932141485	-3044.1408540623725	0.07473613993188935	0.12968405827445653	1.1733796749014531	-1.6773609291715905	-0.47014308686777884	0.3036590080450079	-0.06854544972711463	0.9830248437539205	0.8197161310287382	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.1733796749014531	-0.0	-0.47014308686777884	0.3036590080450079	-0.0	0.9830248437539205	0.8197161310287382	0.0	0.0	-1426.0395673638282	-1618.101286698544
470000	-3303.48234245737	-261.07273882906526	-3042.409603628305	0.08059329091348015	0.11385497342803012	1.0016478221274625	-0.0464186469885387	-0.2307079170375509	-1.293141563302853	-2.1982428814315784	1.3302086534816953	0.8176099729523589	1.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	1.0016478221274625	-0.0464186469885387	-0.2307079170375509	-0.0	-0.0	1.3302086534816953	0.8176099729523589	0.0	0.0	-1423.3936787268233	-1619.0159249014816
480000	-3329.132819245976	-256.1930983346122	-3072.9397209113636	0.07083564350845294	0.1192527991967476	1.0968315830290303	0.732420486031329	-0.42128684890315093	0.2531592669996797	-3.7727539267635213	1.0814301502319807	0.9082793473765162	1.0	0.0	1.0	1.0	0.0	1.0	1.0	5.0	1.0968315830290303	0.0	-0.42128684890315093	0.2531592669996797	-0.0	1.0814301502319807	0.9082793473765162	0.0	0.0	-1438.5049848276908	-1634.4347360836728
490000	-3325.7331442306204	-255.89361203882964	-3069.8395321917906	0.07516682896410129	0.11464759087307999	1.1398597753615523	-1.1124408674194723	-0.4158502655574573	3.0028729989449277	-1.477821617685529	1.2570245971081138	0.8064384097291659	1.0	0.0	1.0	0.0	0.0	1.0	1.0	4.0	1.1398597753615523	-0.0	-0.4158502655574573	0.0	-0.0	1.2570245971081138	0.8064384097291659	0.0	0.0	-1423.1358360333636	-1646.703696158427
