state	Tree Length	tMRCA	External/Internal ratio	FuLiD
2026	1288.7562061642193	11.669440352428708	3.5833284518616675	-17.81850221763487
2027	1290.023535128163	11.820305192053798	3.5312365331052065	-17.74868268557945
2028	1297.9352078938803	11.301728705214419	3.595972606422157	-17.840192739655567
2029	1293.0642781888423	11.448786355088325	3.5482931663919515	-17.77353681944628
2030	1297.1865656472387	11.29933790177806	3.4273534529679552	-17.606873063253605
2031	1301.142466564239	11.291520849314594	3.4831863065912207	-17.687983419238677
2032	1294.8307129231484	11.343593365891776	3.526804255403389	-17.74512601414328
2033	1310.8337639771723	11.43258016927304	3.5821955466233066	-17.82846624076743
2034	1318.9791715575439	11.492936872964492	3.7086331441087617	-17.99743329874503
2035	1316.7696230102395	11.627566409054927	3.635431007974914	-17.901979682843972
2036	1312.365997744077	11.696435904655603	3.598301178236837	-17.85074435017601
2037	1297.7130377806552	11.846760655363909	3.705964278927662	-17.983024832074758
2038	1306.8752211807357	11.372291621654721	3.6929389710746348	-17.97123180647769
2039	1299.1349637189394	11.612151397205244	3.73457220314698	-18.01986505368578
2040	1292.5105295698809	11.375637389340634	3.6013981886714435	-17.844560805635837
2041	1307.3954691202441	11.56463610514389	3.6372656725113055	-17.89957216983143
2042	1307.030693240806	11.369754915538604	3.7078091918646408	-17.990236584286517
2043	1298.9204895978803	11.73741188960469	3.556035939565241	-17.78709395496187
2044	1295.533695986594	11.729441405562442	3.6319271090626337	-17.886408495923863
2045	1298.2807902713116	11.430019359140537	3.5936944837343514	-17.837339933104555
2046	1292.478623586905	11.289275513751665	3.6463042989723053	-17.903575771547235
2047	1297.4620347931295	11.310028352745942	3.5992441462966323	-17.84429611406902
2048	1304.2091432010038	11.843369625525131	3.5469552701527958	-17.777507744621293
2049	1310.0951322658566	11.692920787185525	3.6766194182159118	-17.951989580426666
2050	1310.1890905205203	11.366499741222498	3.6607699065830195	-17.931591126835645
2051	1310.6106207160328	11.275057282176409	3.6472197720498163	-17.914216850708637
