# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 30 15:18:38 CET 2022 [seed=1669817914814]
# -beagle_gpu -beagle_order 1 -overwrite -save_every 10000000 -save_state RSV.A.1213.country.cont0.dump.txt RSV.A.1213.country.xml
state	joint	prior	likelihood	country.clock.rate	country.coefficients1	country.coefficients2	country.coefficients3	country.coefficients4	country.coefficients5	country.coefIndicators1	country.coefIndicators2	country.coefIndicators3	country.coefIndicators4	country.coefIndicators5	country.includedPredictors	country.coefficientsTimesIndicators1	country.coefficientsTimesIndicators2	country.coefficientsTimesIndicators3	country.coefficientsTimesIndicators4	country.coefficientsTimesIndicators5	country.branchRates	c_allTransitions[1]
430000	-1605.6881748750134	-137.12362934366604	-1468.5645455313474	0.07798514006571894	1.4339346147869785	-0.32254968818016466	-0.5001316504858544	0.3962770696955319	0.1836976460713496	1.0	1.0	1.0	1.0	1.0	5.0	1.4339346147869785	-0.32254968818016466	-0.5001316504858544	0.3962770696955319	0.1836976460713496	0.0	319.0
440000	-1623.5382771350505	-137.52825335450297	-1486.0100237805475	0.08091022149533976	1.5246072950865972	1.6834508787375548	-0.6879835666248527	0.4372667404892202	-0.0050507822554062	1.0	0.0	1.0	1.0	1.0	4.0	1.5246072950865972	0.0	-0.6879835666248527	0.4372667404892202	-0.0050507822554062	0.0	331.0
450000	-1601.344994826806	-122.24795273214049	-1479.0970420946655	0.07248686692993624	1.5355695103756832	1.6442540454029053	-0.6615165051995983	0.4216402874197102	-0.5875951379598725	1.0	0.0	1.0	1.0	0.0	3.0	1.5355695103756832	0.0	-0.6615165051995983	0.4216402874197102	-0.0	0.0	320.0
460000	-1615.1048649576003	-128.86326239614624	-1486.241602561454	0.07315387803352878	1.9409162511944351	-2.451470143815599	-0.6414987347834717	0.4744642067752319	0.222117704601767	1.0	0.0	1.0	1.0	1.0	4.0	1.9409162511944351	-0.0	-0.6414987347834717	0.4744642067752319	0.222117704601767	0.0	330.0
470000	-1621.1623878179776	-128.44636870074228	-1492.7160191172352	0.07411031305924112	1.6451430872928312	2.94761183346367	-0.7305589815948567	0.44357336539437814	-0.2146811338407979	1.0	0.0	1.0	1.0	0.0	3.0	1.6451430872928312	0.0	-0.7305589815948567	0.44357336539437814	-0.0	0.0	324.0
480000	-1607.694537746803	-120.70664110615317	-1486.9878966406498	0.07033391210631963	1.5480669461892893	1.041040586869938	-0.7761153041118678	0.42815549098543676	0.6840019736908742	1.0	0.0	1.0	1.0	0.0	3.0	1.5480669461892893	0.0	-0.7761153041118678	0.42815549098543676	0.0	0.0	315.0
490000	-1612.9510539322646	-124.05303949406012	-1488.8980144382044	0.06832627594873038	2.090887347814331	-4.077192227414489	-0.574701890656952	0.5448515802068423	0.24980120458211963	1.0	0.0	1.0	1.0	1.0	4.0	2.090887347814331	-0.0	-0.574701890656952	0.5448515802068423	0.24980120458211963	0.0	335.0
500000	-1608.9388367070644	-121.28435219119	-1487.6544845158744	0.0698730088949894	1.5668690135061727	-2.065927909647477	-0.679390904287879	0.4149749008666003	-1.1028134236700213	1.0	0.0	1.0	1.0	0.0	3.0	1.5668690135061727	-0.0	-0.679390904287879	0.4149749008666003	-0.0	0.0	334.0
510000	-1615.842870217144	-128.79054101316692	-1487.0523292039773	0.07499690920405747	1.9554301981706284	0.7559453053122597	-0.6260284435303315	0.519318631604522	0.3480463667872355	1.0	0.0	1.0	1.0	1.0	4.0	1.9554301981706284	0.0	-0.6260284435303315	0.519318631604522	0.3480463667872355	0.0	340.0
520000	-1612.4184211343613	-127.1130328330289	-1485.3053883013324	0.07247706032551066	1.8687326362224743	-0.4588050912857531	-0.6072103249788713	0.5049222836700659	0.22554858672706218	1.0	0.0	1.0	1.0	1.0	4.0	1.8687326362224743	-0.0	-0.6072103249788713	0.5049222836700659	0.22554858672706218	0.0	333.0
530000	-1617.734519966969	-142.6080702627846	-1475.1264497041843	0.08376431698669093	1.442882794602917	-0.8209423983459381	-0.562491477157468	0.5139122634336164	-0.9382893181427294	1.0	0.0	1.0	1.0	0.0	3.0	1.442882794602917	-0.0	-0.562491477157468	0.5139122634336164	-0.0	0.0	343.0
540000	-1609.0748624497155	-120.4859122434504	-1488.588950206265	0.07028335310193905	1.6322381083637818	1.6120322911349316	-0.6705625227042025	0.6467103001286436	-1.1823188406655194	1.0	0.0	1.0	1.0	0.0	3.0	1.6322381083637818	0.0	-0.6705625227042025	0.6467103001286436	-0.0	0.0	333.0
550000	-1603.7049766013906	-137.78875944718573	-1465.9162171542048	0.08212257748726465	1.3892768998205078	-0.35952391352755775	-0.6042344608621841	0.37726585221852355	-1.2926195546032166	1.0	1.0	1.0	1.0	0.0	4.0	1.3892768998205078	-0.35952391352755775	-0.6042344608621841	0.37726585221852355	-0.0	0.0	325.0
560000	-1614.3498402617997	-127.61073061712368	-1486.739109644676	0.07565674156738598	1.6196898500896764	0.7065872788060842	-0.7500164333267415	0.48598408794823167	1.334652371673713	1.0	0.0	1.0	1.0	0.0	3.0	1.6196898500896764	0.0	-0.7500164333267415	0.48598408794823167	0.0	0.0	325.0
570000	-1610.2045327773212	-120.69522552566833	-1489.509307251653	0.07110955395857953	1.5882309177870408	0.8277546411317545	-0.5573363671357286	0.6286402681878048	1.4919779401062991	1.0	0.0	1.0	1.0	0.0	3.0	1.5882309177870408	0.0	-0.5573363671357286	0.6286402681878048	0.0	0.0	320.0
580000	-1615.4270060545198	-119.02643187837947	-1496.4005741761403	0.07109683374587783	1.7747913520950882	0.10667017151030231	-0.7666595443091169	0.5572743956834993	-2.653540122245602	1.0	0.0	1.0	1.0	0.0	3.0	1.7747913520950882	0.0	-0.7666595443091169	0.5572743956834993	-0.0	0.0	323.0
590000	-1634.1142795367402	-132.46911603357336	-1501.645163503167	0.07665028337082902	1.6872785946332298	1.371592473905139	-0.7254646013767648	0.5122722507696945	3.0613020786895415	1.0	0.0	1.0	1.0	0.0	3.0	1.6872785946332298	0.0	-0.7254646013767648	0.5122722507696945	0.0	0.0	339.0
600000	-1606.555429174974	-121.20694141628039	-1485.3484877586936	0.07190917943277296	1.7254039779631025	0.1489968181308955	-0.604914527883234	0.744495290010694	-1.1279630806399075	1.0	0.0	1.0	1.0	0.0	3.0	1.7254039779631025	0.0	-0.604914527883234	0.744495290010694	-0.0	0.0	322.0
610000	-1606.8645030101463	-143.67526731663642	-1463.18923569351	0.08877049412703684	1.6451562924098762	-0.24085544233626563	-0.6287545719583298	0.4134320784033766	-0.22524525192837208	1.0	1.0	1.0	1.0	0.0	4.0	1.6451562924098762	-0.24085544233626563	-0.6287545719583298	0.4134320784033766	-0.0	0.0	334.0
620000	-1605.9640084940308	-128.6220381545585	-1477.3419703394723	0.07534146721583815	1.7089674336099618	1.9613497254455625	-0.7358966884797906	0.5631034462171295	-1.712892444769196	1.0	0.0	1.0	1.0	0.0	3.0	1.7089674336099618	0.0	-0.7358966884797906	0.5631034462171295	-0.0	0.0	340.0
630000	-1619.0944466091519	-122.58147486720769	-1496.5129717419443	0.07066503747209082	1.77417194238967	-0.1770741762515108	-0.8335438870395836	0.4983529437990423	-2.5866837841523207	1.0	1.0	1.0	1.0	0.0	4.0	1.77417194238967	-0.1770741762515108	-0.8335438870395836	0.4983529437990423	-0.0	0.0	323.0
640000	-1618.3951061206458	-145.61157611623028	-1472.7835300044155	0.08453969914040131	1.9006302298894235	-0.3632915522800779	-0.6877289134483663	0.5488901098783561	0.3710453346907661	1.0	1.0	1.0	1.0	0.0	4.0	1.9006302298894235	-0.3632915522800779	-0.6877289134483663	0.5488901098783561	0.0	0.0	336.0
650000	-1606.6900831989951	-130.93681164077412	-1475.753271558221	0.07923646252209511	1.6617418401775246	-1.8214742150534617	-0.6601505370954068	0.4783966929547537	-1.7604478026848032	1.0	0.0	1.0	1.0	0.0	3.0	1.6617418401775246	-0.0	-0.6601505370954068	0.4783966929547537	-0.0	0.0	324.0
660000	-1614.3381617695582	-134.40812484561297	-1479.9300369239452	0.0783150705734733	1.5544033816133505	1.5332624132604689	-0.618805685090441	0.4182038738498702	3.5198871220033086	1.0	0.0	1.0	1.0	0.0	3.0	1.5544033816133505	0.0	-0.618805685090441	0.4182038738498702	0.0	0.0	325.0
670000	-1610.244853585139	-126.36811523494869	-1483.8767383501904	0.07313617609183232	1.7648225787335823	-2.4835497324600206	-0.65421819587512	0.44600466175170494	0.3080258072929356	1.0	0.0	1.0	1.0	1.0	4.0	1.7648225787335823	-0.0	-0.65421819587512	0.44600466175170494	0.3080258072929356	0.0	322.0
680000	-1611.649440181315	-125.69353973586925	-1485.9559004454456	0.07410993679787034	1.484377045659301	-2.996913981119534	-0.6466929236405639	0.4559546644874168	0.43642329146564984	1.0	0.0	1.0	1.0	0.0	3.0	1.484377045659301	-0.0	-0.6466929236405639	0.4559546644874168	0.0	0.0	335.0
690000	-1617.2588165048867	-137.46227930831103	-1479.7965371965756	0.08102692294206003	1.645903349959449	-3.1344289133501846	-0.6648990629191044	0.5712759205891464	1.42975841290914	1.0	0.0	1.0	1.0	0.0	3.0	1.645903349959449	-0.0	-0.6648990629191044	0.5712759205891464	0.0	0.0	319.0
700000	-1609.7936865393763	-128.9612539355079	-1480.8324326038685	0.07855063303463387	1.5036777050714643	-2.0760539053713036	-0.7044716403866005	0.5212837716827102	-2.1467139117515615	1.0	0.0	1.0	1.0	0.0	3.0	1.5036777050714643	-0.0	-0.7044716403866005	0.5212837716827102	-0.0	0.0	327.0
710000	-1621.9190493479105	-119.13448461402544	-1502.784564733885	0.06880800871816585	1.6980994830898617	-3.7118377104345983	-0.7017569656285181	0.5397976109252957	1.6146637400908637	1.0	0.0	1.0	1.0	0.0	3.0	1.6980994830898617	-0.0	-0.7017569656285181	0.5397976109252957	0.0	0.0	326.0
720000	-1614.0704637039833	-140.0577240976854	-1474.0127396062978	0.08194740247371532	1.6178647803300819	1.567699438051149	-0.5378299680659724	0.19553650786311558	0.2992928056106458	1.0	0.0	1.0	1.0	1.0	4.0	1.6178647803300819	0.0	-0.5378299680659724	0.19553650786311558	0.2992928056106458	0.0	319.0
730000	-1608.423340642289	-113.95448855856245	-1494.4688520837267	0.06552664406157735	1.7815995381238288	-3.0663419469000783	-0.6604623601261677	0.528695325416222	0.7288383255230424	1.0	0.0	1.0	1.0	0.0	3.0	1.7815995381238288	-0.0	-0.6604623601261677	0.528695325416222	0.0	0.0	325.0
740000	-1620.8598335956315	-115.73158148390766	-1505.128252111724	0.0658109726168952	1.7031297328070254	-0.1073092925199022	-0.6927902236076539	0.4561359241462575	-1.0663792643066583	1.0	1.0	1.0	1.0	0.0	4.0	1.7031297328070254	-0.1073092925199022	-0.6927902236076539	0.4561359241462575	-0.0	0.0	325.0
750000	-1610.0455145093065	-144.3914467004385	-1465.654067808868	0.0838188281382156	1.512948767540518	-0.37382706296199175	-0.6052737651348311	0.4171766100236421	-1.8408429511573743	1.0	1.0	1.0	1.0	0.0	4.0	1.512948767540518	-0.37382706296199175	-0.6052737651348311	0.4171766100236421	-0.0	0.0	329.0
760000	-1616.7732988390073	-126.07123672714889	-1490.7020621118584	0.07230572549763718	1.617499800561045	1.4223877500328417	-0.5833085583447317	0.2957845575083603	0.16871645583075368	1.0	0.0	1.0	1.0	1.0	4.0	1.617499800561045	0.0	-0.5833085583447317	0.2957845575083603	0.16871645583075368	0.0	336.0
770000	-1612.6956694688583	-118.05004471408863	-1494.6456247547696	0.06632353854923145	1.7846848709290797	1.0414764335485969	-0.7443247159101405	0.8094300644065144	3.279826133751974	1.0	0.0	1.0	1.0	0.0	3.0	1.7846848709290797	0.0	-0.7443247159101405	0.8094300644065144	0.0	0.0	333.0
780000	-1609.1667312029654	-132.7363778522799	-1476.4303533506854	0.07740474076972689	1.8327026976199805	-0.27688717002675617	-0.7009351333427039	0.444954915989396	2.6974470243693967	1.0	1.0	1.0	1.0	0.0	4.0	1.8327026976199805	-0.27688717002675617	-0.7009351333427039	0.444954915989396	0.0	0.0	338.0
